code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.ACAT,ACASIA TECHNOLOGY INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87754771997506,False,N/A,False,,US_PINK
US.ACB,Aurora Cannabis,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,76562087234488,False,N/A,False,,US_NASDAQ
US.ACBD,ANNABIDIOL CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270326,False,N/A,False,,US_PINK
US.ACBM,ACRO BIOMEDICAL CO LTD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212513234,False,N/A,False,,US_PINK
US.ACCL,Acco Group,1,STOCK,N/A,,N/A,,N/A,N/A,2025-10-17,87509958860914,False,N/A,False,,US_NASDAQ
US.ACCMD,ACCMD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270328,False,N/A,False,,US_PINK
US.ACCO,ACCO Brands,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,207335,False,N/A,False,,US_NYSE
US.ACCR,ACCESS-POWER & CO INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273705,False,N/A,False,,US_PINK
US.ACCS,ACCESS Newswire,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,86388972438431,False,N/A,False,,US_AMEX
US.ACCYY,ACCOR SA SPON ADR EA REPR 0.2 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511891,False,N/A,False,,US_PINK
US.ACDC,ProFrac Holding,1,STOCK,N/A,,N/A,,N/A,N/A,2022-05-13,82879984138934,False,N/A,False,,US_NASDAQ
US.ACEL,Accel Entertainment,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,78254304350756,False,N/A,False,,US_NYSE
US.ACER,ACER THERAPEUTICS INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84593676076278,False,N/A,False,,US_PINK
US.ACET,Adicet Bio,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205430,False,N/A,False,,US_NASDAQ
US.ACFN,Acorn Energy,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212492252,False,N/A,False,,US_NASDAQ
US.ACFND,ACORN ENERGY INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84211424004655,False,N/A,False,,US_PINK
US.ACGBY,AGRICULTURAL BK CH,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,214679,False,N/A,False,,US_PINK
US.ACGCU,ACP HLDGS ACQUISITION CORP UNIT CONSIST 1 CL A ORD & 1 WT,1,STOCK,N/A,,N/A,,N/A,N/A,2026-04-02,88235808381385,False,N/A,False,,US_NASDAQ
US.ACGL,Arch Capital,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202987,False,N/A,False,,US_NASDAQ
US.ACGLL,ARCH CAP GRP DRC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80659486042509,False,N/A,False,,US_PINK
US.ACGLN,ARCH CAPITAL GROUP DEP SHS EACH REP 1/1000TH NCUM PFD SER G,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80706730682834,False,N/A,False,,US_NASDAQ
US.ACGLO,ARCH CAPITAL GROUP 5.45% NON CUM DEP REP 1/1000 PFD SER F,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,74723841229461,False,N/A,False,,US_NASDAQ
US.ACGN,Aceragen,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83210696621221,False,N/A,False,,US_NASDAQ
US.ACGP,Associated Capital,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87338160213672,False,N/A,False,,US_PINK
US.ACGX,ALLIANCE CREATIVE GROUP INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212513657,False,N/A,False,,US_PINK
US.ACH,Accendra Health,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87849261273525,False,N/A,False,,US_NYSE
US.ACHC,Acadia Healthcare,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206954,False,N/A,False,,US_NASDAQ
US.ACHL,Achilles Therapeutics,1,STOCK,N/A,,N/A,,N/A,N/A,2021-03-31,80363133295897,False,N/A,False,,US_NASDAQ
US.ACHN,ACHN,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187242135,False,N/A,False,,US_PINK
US.ACHR,Archer Aviation,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,81114752576858,False,N/A,False,,US_NYSE
US.ACHV,Achieve Life,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,74646531818100,False,N/A,False,,US_NASDAQ
US.ACI,Albertsons Companies,1,STOCK,N/A,,N/A,,N/A,N/A,2020-06-26,76239964673200,False,N/A,False,,US_NYSE
US.ACIC,American Coastal Insurance,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84108344776987,False,N/A,False,,US_NASDAQ
US.ACITD,ACITD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85306640676533,False,N/A,False,,US_PINK
US.ACIU,AC Immune,1,STOCK,N/A,,N/A,,N/A,N/A,2016-09-23,212077,False,N/A,False,,US_NASDAQ
US.ACIW,ACI Worldwide,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,203436,False,N/A,False,,US_NASDAQ
US.ACKAY,ARCELIK UNSP ADR EACH REPR 5 ORD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273716,False,N/A,False,,US_PINK
US.ACLL,ACell,1,STOCK,N/A,,N/A,,N/A,N/A,2020-07-20,79263621666076,False,N/A,False,,US_NASDAQ
US.ACLLY,ACCELLERON INDUSTRIES AG UNSPON ADR EACH REP 1 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,82751135119857,False,N/A,False,,US_PINK
US.ACLS,Axcelis Technologies,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206236,False,N/A,False,,US_NASDAQ
US.ACLX,Arcellx,1,STOCK,N/A,,N/A,,N/A,N/A,2022-02-04,81703163098180,False,N/A,False,,US_NASDAQ
US.ACM,AECOM Technology,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202361,False,N/A,False,,US_NYSE
US.ACMB,AGRO CAPITAL MANAGEMENT CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270372,False,N/A,False,,US_PINK
US.ACMDY,ACMDY,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87875031127239,False,N/A,False,,US_PINK
US.ACMMY,ACMMY,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270335,False,N/A,False,,US_PINK
US.ACMR,ACM Research,1,STOCK,N/A,,N/A,,N/A,N/A,2017-11-03,75011604029665,False,N/A,False,,US_NASDAQ
US.ACMT,ACMAT CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270336,False,N/A,False,,US_PINK
US.ACMTA,ACMAT CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270337,False,N/A,False,,US_PINK
